school_name,number_applicants,acceptance_rate,sat_quartile_range,act_quartile_range,sat_lower_quartile,sat_upper_quartile
Hobart and William Smith Colleges,4526,0.569,1203-1360,27-30,1203.0,1360.0
Abilene Christian University,11569,0.57,1040-1230,21-27,1040.0,1230.0
Bennington College,1494,0.57,1230-1390,28-32,1230.0,1390.0
Birmingham-​Southern College,3628,0.57,1040-1250,22-28,1040.0,1250.0
Fairfield University,12315,0.5710000000000001,1210-1350,26-30,1210.0,1350.0
Georgia State,19838,0.574,990-1190,21-26,990.0,1190.0
Texas A&M University—​College Station,42899,0.575,1160-1390,26-31,1160.0,1390.0
Saint Louis University,15120,0.575,1180-1370,25-31,1180.0,1370.0
St. John's College Annapolis,913,0.5760000000000001,1210-1450,24-33,1210.0,1450.0
Lake Forest College,4147,0.579,1110-1310,23-29,1110.0,1310.0
Kennesaw State University,13427,0.579,1080-1270,21-26,1080.0,1270.0
California State University--Fresno,18122,0.579,950-1130,16-22,950.0,1130.0
Rollins College,6167,0.583,1160-1340,24-30,1160.0,1340.0
University of Hawaii at Manoa,16244,0.584,1070-1270,21-26,1070.0,1270.0
University of Denver,21028,0.5870000000000001,1170-1350,26-31,1170.0,1350.0
Hampden-​Sydney College,3240,0.59,1050-1250,21-27,1050.0,1250.0
University of Illinois—​Urbana-​Champaign,43509,0.59,1220-1480,27-33,1220.0,1480.0
Millsaps College,4161,0.593,1080-1260,22-28,1080.0,1260.0
California State University--Northridge,30637,0.593,910-1130,16-22,910.0,1130.0
Clark University,7687,0.594,1200-1390,28-31,1200.0,1390.0
Lipscomb University,3638,0.595,1060-1320,22-29,1060.0,1320.0
Virginia Military Institute,1515,0.595,1090-1270,21-28,1090.0,1270.0
Purdue University—​West Lafayette,54912,0.598,1190-1440,25-32,1190.0,1440.0
Temple University,35599,0.6,1120-1320,24-30,1120.0,1320.0
Rutgers The State University of New Jersey—​New Brunswick,41348,0.601,1190-1410,25-31,1190.0,1410.0
Illinois Institute of Technology,5049,0.602,1190-1400,26-32,1190.0,1400.0
Yeshiva University,1508,0.603,1140-1400,22-30,1140.0,1400.0
Illinois Wesleyan University,3719,0.608,1120-1320,24-29,1120.0,1320.0
Furman University,5469,0.611,1230-1410,28-32,1230.0,1410.0
University at Buffalo—​SUNY,29900,0.611,1160-1340,24-29,1160.0,1340.0
Concordia College—​Moorhead,4160,0.612,1080-1368,21-27,1080.0,1368.0
SUNY College of Environmental Science and Forestry,2018,0.614,1120-1310,23-29,1120.0,1310.0
University of Portland,14505,0.615,1160-1330,23-29,1160.0,1330.0
Cornell College,3118,0.618,1100-1345,23-29,1100.0,1345.0
Muhlenberg College,4146,0.618,1170-1360,26-30,1170.0,1360.0
Gonzaga University,9279,0.619,1210-1358,25-30,1210.0,1358.0
Beloit College,3657,0.62,1080-1380,24-30,1080.0,1380.0
Lawrence University,3463,0.621,1200-1430,25-32,1200.0,1430.0
University of Utah,24404,0.621,1142.5-1380,22-29,1142.5,1380.0
Allegheny College,5208,0.622,1170-1360,24-30,1170.0,1360.0
University of Delaware,27691,0.624,1170-1350,25-30,1170.0,1350.0
Westmont College,2937,0.624,1110-1370,23-30,1110.0,1370.0
Luther College,4422,0.626,1050-1310,23-29,1050.0,1310.0
Rutgers The State University of New Jersey—​Newark,13259,0.627,1020-1190,19-24,1020.0,1190.0
Earlham College,2070,0.634,1100-1370,23-30,1100.0,1370.0
Augustana College,6211,0.636,1070-1280,22-29,1070.0,1280.0
Wofford College,3522,0.636,1180-1350,27-30,1180.0,1350.0
New Jersey Institute of Technology,8123,0.637,1190-1380,25-30,1190.0,1380.0
University of Massachusetts—​Amherst,42157,0.638,1190-1390,26-32,1190.0,1390.0
Wabash College,1307,0.642,1120-1320,23-29,1120.0,1320.0
DePauw University,4935,0.644,1130-1360,23-30,1130.0,1360.0
Drury University,1664,0.644,1045-1225,22-28,1045.0,1225.0
St. John Fisher College,4720,0.645,1070-1260,21-26,1070.0,1260.0
University of San Francisco,18411,0.6459999999999999,1130-1330,23-29,1130.0,1330.0
Bard College,5141,0.6459999999999999,1248-1420,27-31,1248.0,1420.0
Goshen College,1278,0.647,1010-1210,21-29,1010.0,1210.0
Agnes Scott College,1751,0.648,1130-1340,24-30,1130.0,1340.0
Virginia Polytechnic Institute and State University,31936,0.648,1180-1390,25-31,1180.0,1390.0
University of Houston,25393,0.65,1140-1310,22-27,1140.0,1310.0
University of North Carolina—​Charlotte,21867,0.65,1120-1290,22-26,1120.0,1290.0
Truman State University,4568,0.653,1080-1358,24-30,1080.0,1358.0
University of North Carolina—​Wilmington,13287,0.655,1170-1320,22-27,1170.0,1320.0
SUNY—​Geneseo,10433,0.655,1120-1310,23-28,1120.0,1310.0
Embry-​Riddle Aeronautical University,6017,0.655,1110-1320,22-29,1110.0,1320.0
University of the Pacific,13096,0.6559999999999999,1130-1360,23-31,1130.0,1360.0
Rochester Institute of Technology,18948,0.66,1200-1400,27-32,1200.0,1400.0
Berry College,3970,0.6609999999999999,1110-1310,23-29,1110.0,1310.0
Mississippi State University,18269,0.6629999999999999,1070-1280,22-30,1070.0,1280.0
Sewanee—​University of the South,3545,0.667,1150-1340,25-30,1150.0,1340.0
Hanover College,7795,0.669,1078-1300,22-28,1078.0,1300.0
Coe College,7795,0.669,1078-1300,22-28,1078.0,1300.0
Randolph-​Macon College,2907,0.6709999999999999,1020-1240,20-27,1020.0,1240.0
Loyola University Chicago,25583,0.672,1140-1320,25-30,1140.0,1320.0
University of Vermont,19233,0.6729999999999999,1180-1360,26-31,1180.0,1360.0
San Francisco State University,34629,0.6729999999999999,940-1150,17-23,940.0,1150.0
Brigham Young University—​Provo,10500,0.675,1210-1420,26-31,1210.0,1420.0
Drake University,6944,0.6759999999999999,1100-1370,24-31,1100.0,1370.0
Stonehill College,6961,0.677,1120-1290,24-28.5,1120.0,1290.0
Elmhurst College,4175,0.6779999999999999,990-1210,20-26,990.0,1210.0
Taylor University,2341,0.6809999999999999,1080-1310,22-28,1080.0,1310.0
DePaul University,26895,0.682,1070-1290,--,1070.0,1290.0
Knox College,3397,0.6829999999999999,1090-1350,24-31,1090.0,1350.0
Hofstra University,24425,0.685,1160-1340,25-30,1160.0,1340.0
Ithaca College,15278,0.685,1160-1338,25-30,1160.0,1338.0
California State University--San Bernardino,16307,0.6859999999999999,910-1090,15-19,910.0,1090.0
University of South Carolina,31268,0.6859999999999999,1180-1370,25-31,1180.0,1370.0
Albion College,4043,0.688,990-1200,21-27,990.0,1200.0
Presbyterian College (SC),2462,0.688,1010-1210,19-25,1010.0,1210.0
Texas Tech University,25384,0.6890000000000001,1070-1260,22-27,1070.0,1260.0
Ohio Wesleyan University,4705,0.69,1060-1295,22-28,1060.0,1295.0
Ripon College,2619,0.69,1000-1210,20-27,1000.0,1210.0
Drew University,3788,0.6920000000000001,1110-1310,25-30,1110.0,1310.0
Central Michigan,16411,0.695,990-1200,20-26,990.0,1200.0
Oklahoma State University,15277,0.7,1040-1265,21-28,1040.0,1265.0
Bradley University,10708,0.7020000000000001,1070-1270,22-28,1070.0,1270.0
Seton Hall University,19260,0.7040000000000001,1150-1310,24-28,1150.0,1310.0
Biola University,4149,0.705,1080-1310,21-28,1080.0,1310.0
Ursinus College,3361,0.7090000000000001,1140-1320,23-28,1140.0,1320.0
Montclair State,14324,0.7090000000000001,990-1170,--,990.0,1170.0
Clarkson University,6885,0.711,1160-1350,24-30,1160.0,1350.0
Michigan State University,44322,0.711,1100-1320,23-29,1100.0,1320.0
Hollins University,3244,0.7120000000000001,1070-1300,22-30,1070.0,1300.0
Creighton University,10112,0.7140000000000001,1150-1350,24-30,1150.0,1350.0
California Lutheran University,5752,0.715,1070-1250,21-26,1070.0,1250.0
University of Mary Washington,5909,0.718,1050-1269,22-29,1050.0,1269.0
Christopher Newport University,7204,0.7190000000000001,1110-1280,22-27,1110.0,1280.0
University of California—Merced,25368,0.72,980-1180,17-22,980.0,1180.0
Mercer University,5454,0.72,1180-1340,25-30,1180.0,1340.0
University of Dayton,17462,0.72,1120-1320,23-29,1120.0,1320.0
Lewis & Clark College,5863,0.722,1220-1400,27-31,1220.0,1400.0
Hendrix College,1545,0.722,1153-1390,26-32,1153.0,1390.0
University of Rhode Island,21259,0.723,1012-1345,20-29,1012.0,1345.0
California State University--Chico,25908,0.723,990-1180,18-24,990.0,1180.0
Stetson University,13005,0.7240000000000001,1110-1300,22-29,1110.0,1300.0
